,index,Unnamed: 0,시군구,소재지,Latitude,Longitude,구분,geometry,facility_id,버스정류장,자전거정류장,주차장,지하철
85.0,101,130,창원시,경상남도 창원시 의창구 북면 신촌리 1533-2,35.3489702,128.6088022,유원시설업(기타),POINT (128.6088022 35.3489702),94,11.0,1.0,0.0,0.0
86.0,102,131,창원시,경상남도 창원시 마산회원구 양덕동 149-20 메트로센텀 1동 1302호,35.2234392,128.5859205,유원시설업(기타),POINT (128.5859205 35.2234392),95,11.0,6.0,0.0,0.0
87.0,103,132,창원시,경상남도 창원시 마산합포구 해운동 5-95 해운프라자,35.1793105,128.5592931,유원시설업(기타),POINT (128.5592931 35.1793105),96,26.0,3.0,0.0,0.0
88.0,104,133,창원시,경상남도 창원시 성산구 대원동 121 더시티세븐,35.2400442,128.6528882,유원시설업(기타),POINT (128.6528882 35.2400442),97,24.0,3.0,1.0,0.0
89.0,105,134,창원시,경상남도 창원시 성산구 대방동 338-4 대풍빌딩,35.2160435,128.7075083,유원시설업(기타),POINT (128.7075083 35.2160435),98,20.0,6.0,3.0,0.0
90.0,106,137,김해시,경상남도 김해시 어방동 993,35.25273,128.8905637,일반유원시설업,POINT (128.8905637 35.25273),99,3.0,0.0,0.0,0.0
91.0,107,138,김해시,경상남도 김해시 생림면 마사리 654-4,35.3718452,128.8208867,일반유원시설업,POINT (128.8208867 35.3718452),100,1.0,0.0,0.0,0.0
92.0,108,139,김해시,경상남도 김해시 어방동 993,35.25273,128.8905637,일반유원시설업,POINT (128.8905637 35.25273),101,12.0,1.0,0.0,0.0
93.0,109,141,김해시,경상남도 김해시 신문동 1414 롯데아울렛,35.1850539,128.8290167,일반유원시설업,POINT (128.8290167 35.1850539),102,21.0,6.0,0.0,0.0
94.0,110,161,창원시,경상남도 창원시 마산회원구 합성동 126-29 지하1층,35.2377256,128.583099,일반유원시설업,POINT (128.583099 35.2377256),103,26.0,3.0,0.0,0.0
95.0,111,162,창원시,경상남도 창원시 의창구 대원동 123번지 창원컨벤션센터,35.2385744,128.6568092,일반유원시설업,POINT (128.6568092 35.2385744),104,15.0,6.0,0.0,0.0
96.0,112,264,창원시,경상남도 창원시 진해구 장천동 409-5 제이씨빌딩 701호,35.1307101,128.7078924,유원시설업(기타),POINT (128.7078924 35.1307101),105,20.0,6.0,0.0,0.0
97.0,113,267,창원시,경상남도 창원시 마산합포구 구산면 반동리 산 121-1,35.0802855,128.5843801,종합유원시설업,POINT (128.5843801 35.0802855),106,0.0,0.0,2.0,0.0
98.0,114,268,김해시,경상남도 김해시 외동 1264 신세계백화점 2층,35.229131,128.872148,유원시설업(기타),POINT (128.872148 35.229131),107,4.0,0.0,1.0,0.0
99.0,115,272,창원시,경상남도 창원시 마산합포구 교방동 385-25,35.2109477,128.5646,유원시설업(기타),POINT (128.5646 35.2109477),108,0.0,0.0,2.0,0.0
100.0,116,273,창원시,경상남도 창원시 성산구 대원동 123,35.2385744,128.6568092,국제회의시설업,POINT (128.6568092 35.2385744),109,4.0,0.0,0.0,0.0
101.0,118,276,창원시,경상남도 창원시 성산구 상남동 79 롯데백화점 3층,35.2245415,128.6819144,유원시설업(기타),POINT (128.6819144 35.2245415),110,27.0,9.0,1.0,0.0
102.0,119,277,김해시,경상남도 김해시 외동 1264,35.229131,128.872148,유원시설업(기타),POINT (128.872148 35.229131),111,6.0,6.0,0.0,0.0
