"연도","시도군","분기","주중/말","시간대","성별","인구수"
"2024","남해군","3분기","주말","새벽","여","871383"
"2024","남해군","3분기","주말","야간","남","941976"
"2024","남해군","3분기","주말","야간","여","871770"
"2024","남해군","3분기","주말","오전","남","957752"
"2024","남해군","3분기","주말","오전","여","877692"
"2024","남해군","3분기","주말","오후","남","965918"
"2024","남해군","3분기","주말","오후","여","900751"
"2024","남해군","4분기","평일","새벽","남","1980763"
"2024","남해군","4분기","평일","새벽","여","1805256"
"2024","남해군","4분기","평일","야간","남","1975318"
"2024","남해군","4분기","평일","야간","여","1797652"
"2024","남해군","4분기","평일","오전","남","2012812"
"2024","남해군","4분기","평일","오전","여","1803525"
"2024","남해군","4분기","평일","오후","남","2021147"
"2024","남해군","4분기","평일","오후","여","1815277"
"2024","남해군","4분기","주말","새벽","여","807603"
"2024","남해군","4분기","주말","새벽","남","876339"
"2024","남해군","4분기","주말","야간","남","851642"
"2024","남해군","4분기","주말","야간","여","779787"
"2024","남해군","4분기","주말","오전","남","895658"
"2024","남해군","4분기","주말","오전","여","810763"
"2024","남해군","4분기","주말","오후","남","883286"
"2024","남해군","4분기","주말","오후","여","805861"
"2024","밀양시","1분기","평일","새벽","여","4071370"
"2024","밀양시","1분기","평일","새벽","남","4330830"
"2024","밀양시","1분기","평일","야간","남","4406209"
"2024","밀양시","1분기","평일","야간","여","4129121"
"2024","밀양시","1분기","평일","오전","남","4632949"
"2024","밀양시","1분기","평일","오전","여","4202577"
"2024","밀양시","1분기","평일","오후","남","4697147"
"2024","밀양시","1분기","평일","오후","여","4260179"
"2024","밀양시","1분기","주말","새벽","여","1765787"
"2024","밀양시","1분기","주말","새벽","남","1838055"
"2024","밀양시","1분기","주말","야간","여","1759749"
"2024","밀양시","1분기","주말","야간","남","1833271"
"2024","밀양시","1분기","주말","오전","여","1864570"
"2024","밀양시","1분기","주말","오전","남","1975870"
"2024","밀양시","1분기","주말","오후","남","2034291"
"2024","밀양시","1분기","주말","오후","여","1934453"
"2024","밀양시","2분기","평일","새벽","여","4142458"
"2024","밀양시","2분기","평일","새벽","남","4450636"
"2024","밀양시","2분기","평일","야간","남","4528704"
"2024","밀양시","2분기","평일","야간","여","4192948"
"2024","밀양시","2분기","평일","오전","여","4325981"
"2024","밀양시","2분기","평일","오전","남","4821343"
"2024","밀양시","2분기","평일","오후","여","4386417"
"2024","밀양시","2분기","평일","오후","남","4882310"
"2024","밀양시","2분기","주말","새벽","여","1824446"
"2024","밀양시","2분기","주말","새벽","남","1913118"
"2024","밀양시","2분기","주말","야간","남","1931182"
"2024","밀양시","2분기","주말","야간","여","1850068"
"2024","밀양시","2분기","주말","오전","여","1951726"
"2024","밀양시","2분기","주말","오전","남","2068931"
"2024","밀양시","2분기","주말","오후","여","2041682"
"2024","밀양시","2분기","주말","오후","남","2129492"
"2024","밀양시","3분기","평일","새벽","여","4206719"
"2024","밀양시","3분기","평일","새벽","남","4494336"
"2024","밀양시","3분기","평일","야간","여","4240093"
"2024","밀양시","3분기","평일","야간","남","4552579"
"2024","밀양시","3분기","평일","오전","여","4334833"
"2024","밀양시","3분기","평일","오전","남","4821824"
"2024","밀양시","3분기","평일","오후","여","4392248"
"2024","밀양시","3분기","평일","오후","남","4877189"
"2024","밀양시","3분기","주말","새벽","여","1807081"
"2024","밀양시","3분기","주말","새벽","남","1897853"
"2024","밀양시","3분기","주말","야간","여","1822435"
"2024","밀양시","3분기","주말","야간","남","1917744"
"2024","밀양시","3분기","주말","오전","남","2049298"
"2024","밀양시","3분기","주말","오전","여","1911912"
"2024","밀양시","3분기","주말","오후","여","1980545"
"2024","밀양시","3분기","주말","오후","남","2094756"
"2024","밀양시","4분기","평일","새벽","여","4086802"
"2024","밀양시","4분기","평일","새벽","남","4375761"
"2024","밀양시","4분기","평일","야간","남","4437357"
"2024","밀양시","4분기","평일","야간","여","4129339"
"2024","밀양시","4분기","평일","오전","여","4236044"
"2024","밀양시","4분기","평일","오전","남","4748876"
"2024","밀양시","4분기","평일","오후","여","4280831"
"2024","밀양시","4분기","평일","오후","남","4794813"
"2024","밀양시","4분기","주말","새벽","여","1780064"
"2024","밀양시","4분기","주말","새벽","남","1854479"
"2024","밀양시","4분기","주말","야간","남","1853461"
"2024","밀양시","4분기","주말","야간","여","1771760"
"2024","밀양시","4분기","주말","오전","여","1894899"
"2024","밀양시","4분기","주말","오전","남","2009816"
"2024","밀양시","4분기","주말","오후","남","2052381"
"2024","밀양시","4분기","주말","오후","여","1952257"
"2024","사천시","1분기","평일","새벽","남","4359562"
"2024","사천시","1분기","평일","새벽","여","3677134"
"2024","사천시","1분기","평일","야간","남","4424959"
"2024","사천시","1분기","평일","야간","여","3717044"
"2024","사천시","1분기","평일","오전","여","3736811"
"2024","사천시","1분기","평일","오전","남","4690968"
"2024","사천시","1분기","평일","오후","여","3777606"
"2024","사천시","1분기","평일","오후","남","4724924"
"2024","사천시","1분기","주말","새벽","남","1728906"
"2024","사천시","1분기","주말","새벽","여","1527161"
"2024","사천시","1분기","주말","야간","여","1527005"
"2024","사천시","1분기","주말","야간","남","1736126"
"2024","사천시","1분기","주말","오전","여","1560371"
"2024","사천시","1분기","주말","오전","남","1780550"
"2024","사천시","1분기","주말","오후","남","1818163"
