사업장명,지번주소,도로명주소,인허가일자,영업상태,상세영업상태,구분
점프노리 키즈카페 마산내서점,경상남도 창원시 마산회원구 내서읍 호계리 13-2번지 302호,"경상남도 창원시 마산회원구 내서읍 호원로 385, 302호 (상보빌딩)",2016-12-30,영업/정상,영업중,유원시설업(기타)
킹콩점프 마산이마트점,경상남도 창원시 마산합포구 신포동1가 2-10 신우희가로밀리온 601호,"경상남도 창원시 마산합포구 동서동3길 16, 지상6층 601호 (신포동1가, 신우희가로밀리온)",2017-12-12,영업/정상,영업중,유원시설업(기타)
샤랄랄라키즈카페,"경상남도 창원시 의창구 북면 감계리 234-3번지 MG빌딩,601 602호 ","경상남도 창원시 의창구 북면 감계로 306, MG빌딩 6층 601,602호",2017-12-11,영업/정상,영업중,유원시설업(기타)
롯데백화점 창원점 플레이타임,경상남도 창원시 성산구 상남동 80 롯데백화점창원점(신관) 7층호,"경상남도 창원시 성산구 상남로 121, 7층 (상남동, 롯데백화점창원점(신관))",2017-11-30,영업/정상,영업중,유원시설업(기타)
베베포레,경상남도 창원시 마산회원구 내서읍 삼계리 742번지 ,경상남도 창원시 마산회원구 내서읍 삼계로 141,2018-06-28,영업/정상,영업중,유원시설업(기타)
방방아,경상남도 창원시 마산회원구 양덕동 12-30번지 생명장한의원 ,"경상남도 창원시 마산회원구 양덕로 162, A동 3층 (양덕동)",2018-05-16,영업/정상,영업중,유원시설업(기타)
도토리 게임장,경상남도 창원시 진해구 석동 141-1 ,"경상남도 창원시 진해구 동진로61번길 16, 1층 (석동)",2018-02-12,영업/정상,영업중,유원시설업(기타)
킹콩점프 마산메트로시티점,경상남도 창원시 마산회원구 양덕동 51-31번지 금천빌딩 ,"경상남도 창원시 마산회원구 양덕로 120, 금천빌딩 3층 301호 (양덕동)",2018-01-31,영업/정상,영업중,유원시설업(기타)
꼬마대통령 마산양덕점,경상남도 창원시 마산회원구 양덕동 535 ,"경상남도 창원시 마산회원구 양덕서5길 15, 상가동 3층 301~309호 (양덕동, 양덕코오롱하늘채)",2017-02-24,영업/정상,영업중,유원시설업(기타)
꼬마대통령 마산삼계점,경상남도 창원시 마산회원구 내서읍 삼계리 26-6 ,"경상남도 창원시 마산회원구 내서읍 삼계로 12, 6층 601호",2017-02-10,영업/정상,영업중,유원시설업(기타)
헬로방방 창원현동점,경상남도 창원시 마산합포구 현동 374 7층 701호,"경상남도 창원시 마산합포구 현동로 56, 7층 701호 (현동)",2017-09-15,영업/정상,영업중,유원시설업(기타)
모리키즈카페,경상남도 창원시 성산구 가음동 7-2 더원빌딩 403호,"경상남도 창원시 성산구 가음정로43번길 3, 403,404,405호 (가음동, 더원빌딩)",2017-08-21,영업/정상,영업중,유원시설업(기타)
점핑 놀이터,경상남도 창원시 마산합포구 산호동 338-37 ,"경상남도 창원시 마산합포구 회원천북길 505, 2층 (산호동)",2017-06-20,영업/정상,영업중,유원시설업(기타)
야사노,경상남도 창원시 진해구 용원동 1212-16 ,"경상남도 창원시 진해구 용원서로39번길 18, 2층 (용원동, 바보형제쭈꾸미)",2017-05-30,영업/정상,영업중,유원시설업(기타)
팡팡노리,경상남도 창원시 마산회원구 내서읍 삼계리 27-2 ,"경상남도 창원시 마산회원구 내서읍 삼계로 2, 704호 (삼계웰빙프라자빌딩)",2014-04-17,영업/정상,영업중,유원시설업(기타)
라이트방방클럽,경상남도 창원시 마산합포구 교방동 511 ,"경상남도 창원시 마산합포구 교방시장2길 21, 3층 301,302호 (교방동, 교방프라자)",2014-04-11,영업/정상,영업중,유원시설업(기타)
우리동네 놀이터,경상남도 창원시 진해구 석동 142-2 ,"경상남도 창원시 진해구 동진로61번길 6, 1층 (석동)",2016-11-07,영업/정상,영업중,유원시설업(기타)
잡아잡아,경상남도 창원시 마산합포구 해운동 5-95 1층 105호,"경상남도 창원시 마산합포구 월영동2길 16, 1층 105호 (해운동, 해운프라자)",2016-10-07,영업/정상,영업중,유원시설업(기타)
야사노 창동점,경상남도 창원시 마산합포구 창동 137-2 ,"경상남도 창원시 마산합포구 동서북10길 64, 2층 (창동)",2016-08-31,영업/정상,영업중,유원시설업(기타)
키즈파크,경상남도 창원시 의창구 팔용동 30-1번지 ,"경상남도 창원시 의창구 창원대로397번길 6, 4층 (팔용동, 뉴코아아울렛)",2015-05-20,영업/정상,영업중,유원시설업(기타)
오네또해피랜드,경상남도 창원시 의창구 동읍 월잠리 95번지 ,경상남도 창원시 의창구 동읍 주남로184번길 6,2014-12-12,영업/정상,영업중,유원시설업(기타)
VR GAME,경상남도 창원시 마산합포구 구산면 반동리 산 121-1 ,"경상남도 창원시 마산합포구 구산면 로봇랜드로 250, 중심광장동 1층 카니발플라자호",2019-10-04,영업/정상,영업중,유원시설업(기타)
(주)잭슨나인스 창원,경상남도 창원시 의창구 북면 신촌리 1533-2 ,"경상남도 창원시 의창구 북면 신촌본포로 5-16, 305~311, 401, 405~408호",2019-09-06,영업/정상,영업중,유원시설업(기타)
밤비플린,경상남도 창원시 마산회원구 양덕동 149-20 메트로센텀 1동 1302호,"경상남도 창원시 마산회원구 용마로 130, 메트로센텀 1동 13층 1302호 (양덕동)",2019-06-25,영업/정상,영업중,유원시설업(기타)
자바게임랜드,경상남도 창원시 마산합포구 해운동 5-95 해운프라자 ,"경상남도 창원시 마산합포구 월영동2길 16, 해운프라자 1층 104호 (해운동)",2019-09-20,영업/정상,영업중,유원시설업(기타)
시크릿쥬쥬 콩순이 키즈카페,경상남도 창원시 성산구 대원동 121 더시티세븐 ,"경상남도 창원시 성산구 원이대로 320, 더시티세븐 S104호 (대원동)",2019-10-31,영업/정상,영업중,유원시설업(기타)
미니그라운드,경상남도 창원시 성산구 대방동 338-4 대풍빌딩 ,"경상남도 창원시 성산구 대암로 101, 대풍빌딩 3층 (대방동)",2019-03-25,영업/정상,영업중,유원시설업(기타)
남강레저산업(주),경상남도 진주시 내동면 독산리 576-5 ,경상남도 진주시 내동면 망경로 13,2014-09-05,영업/정상,영업중,일반유원시설업
스카이라인루지통영 주식회사,경상남도 통영시 도남동 ,"경상남도 통영시 발개로 178, 통영스카이라인루지 (도남동)",2017-02-08,영업/정상,영업중,일반유원시설업
김해가야테마파크,경상남도 김해시 어방동 993 ,경상남도 김해시 가야테마길 161 (어방동),2015-05-21,영업/정상,영업중,일반유원시설업
김해낙동강레일파크,경상남도 김해시 생림면 마사리 654-4 ,경상남도 김해시 생림면 마사로473번길 41,2016-04-22,영업/정상,영업중,일반유원시설업
김해랜드,경상남도 김해시 어방동 993 ,경상남도 김해시 가야테마길 161 (어방동),2016-05-11,영업/정상,영업중,일반유원시설업
안정사,경상남도 통영시 광도면 안정리 1888 ,경상남도 통영시 광도면 안정1길 363,1988-06-10,영업/정상,,전통사찰
한국엘에스레져,경상남도 김해시 신문동 1414 롯데아울렛 ,경상남도 김해시 장유로 469 (신문동),2017-10-27,영업/정상,영업중,일반유원시설업
황산공원 미니기차,경상남도 양산시 물금읍 물금리 172-2 황산공원 국민여가캠핑장 ,"경상남도 양산시 물금읍 낙동로 295-19, 황산공원 국민여가캠핑장",2018-11-01,영업/정상,영업중,일반유원시설업
타자고,경상남도 양산시 북정동 901-2 ,경상남도 양산시 삼성5길 21-6 (북정동),2017-06-14,영업/정상,영업중,일반유원시설업
당항포랜드,경상남도 고성군 회화면 봉동리 950-1 ,경상남도 고성군 회화면 당항만로 1116,2005-07-29,영업/정상,영업중,일반유원시설업
고성군 관광지사업소,경상남도 고성군 회화면 당항리 112-2 ,경상남도 고성군 회화면 당항만로 1116,2007-11-15,영업/정상,영업중,일반유원시설업
상주랜드,경상남도 남해군 상주면 상주리 1272-1번지 ,,2012-07-06,영업/정상,영업중,일반유원시설업
